opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
96bsg7r1,zane_levy,gtx_plus_basic,sunnamplex,lost,2016-11-21,2017-03-17,0.0
7fqmswix,corliss_cosme,mg_special,bioplex,won,2016-11-22,2017-03-04,62.0
c20avxn7,darcel_schlecht,gtxpro,gogozoom,won,2016-11-22,2017-03-14,4359.0
gs1qvwcr,kami_bicknell,gtx_basic,plusstrip,won,2016-11-22,2017-03-31,566.0
zwh8fxy3,marty_freudenburg,gtx_basic,toughzap,won,2016-11-22,2017-03-03,508.0
2u94y3q9,rosie_papadopoulos,mg_advanced,vehement_capital_partners,lost,2016-11-22,2017-03-20,0.0
aar79noo,versie_hillebrand,mg_special,codehow,won,2016-11-22,2017-03-11,51.0
b6b0pnr2,vicki_laflamme,gtxpro,dalttechnology,won,2016-11-22,2017-03-05,4899.0
m7i5o9yu,corliss_cosme,gtx_basic,cheers,engaging,2016-11-23,2017-05-22,472.0
lxza2osz,corliss_cosme,gtx_plus_pro,ontomedia,won,2016-11-23,2017-03-03,5790.0
n0oncyvz,donn_cantrell,mg_special,kinnamplus,lost,2016-11-23,2017-03-30,0.0
gyb4w2au,elease_gluck,mg_advanced,hottechi,engaging,2016-11-23,2017-05-22,472.0
513dpfx5,gladys_colclough,gtxpro,codehow,won,2016-11-23,2017-03-03,4438.0
ru023k5w,gladys_colclough,mg_advanced,finhigh,won,2016-11-23,2017-03-17,2972.0
vdiu10rv,markita_hansen,mg_special,lexiqvolax,engaging,2016-11-23,2017-05-22,472.0
bzcbq514,markita_hansen,gtx_basic,y-corporation,won,2016-11-23,2017-03-01,523.0
hee6p0qh,anna_snelling,mg_advanced,statholdings,won,2016-11-24,2017-03-25,3647.0
l8chrj2b,cassey_cress,mg_advanced,umbrella_corporation,won,2016-11-24,2017-03-01,4200.0
579lz3f9,daniell_hammack,gtx_plus_basic,j-texon,engaging,2016-11-24,2017-05-22,472.0
su8jnmp4,kami_bicknell,gtx_plus_basic,bubba_gump,engaging,2016-11-24,2017-05-22,472.0
v2x2kmur,kami_bicknell,gtx_plus_basic,faxquote,won,2016-11-24,2017-03-28,1059.0
ajipjp75,marty_freudenburg,gtx_plus_basic,codehow,lost,2016-11-24,2017-03-05,0.0
nyva2g6u,versie_hillebrand,mg_special,dontechi,won,2016-11-24,2017-03-02,57.0
ff45bxtl,vicki_laflamme,mg_advanced,konex,won,2016-11-24,2017-03-27,3671.0
tta9lybs,anna_snelling,mg_special,treequote,won,2016-11-25,2017-03-01,58.0
pagzqh8l,cecily_lampkin,mg_advanced,treequote,won,2016-11-25,2017-03-06,3956.0
j7yf6ds7,corliss_cosme,gtx_plus_pro,betasoloin,won,2016-11-25,2017-03-01,5964.0
s5ixy4z9,corliss_cosme,gtxpro,betasoloin,won,2016-11-25,2017-03-06,4570.0
jqbjmetq,darcel_schlecht,mg_special,domzoom,won,2016-11-25,2017-03-27,49.0
0lvwswew,violet_mclelland,mg_special,donquadtech,won,2016-11-25,2017-03-06,65.0
k53bc1t9,anna_snelling,mg_special,domzoom,lost,2016-11-26,2017-03-27,0.0
d40n5i9y,darcel_schlecht,gtxpro,finhigh,won,2016-11-26,2017-03-08,4739.0
051qtx8z,niesha_huffines,gtx_plus_basic,globex_corporation,won,2016-11-26,2017-03-21,1080.0
5d2xh04s,reed_clapper,mg_special,plussunin,won,2016-11-26,2017-03-12,57.0
v9e582sk,garret_kinder,gtx_basic,konex,won,2016-11-27,2017-03-16,469.0
uk0lezrj,kary_hendrixson,gtx_basic,condax,won,2016-11-27,2017-03-03,532.0
pffhm7hr,markita_hansen,mg_advanced,opentech,engaging,2016-11-27,2017-05-22,472.0
it10cfqh,rosalina_dieter,gtx_basic,konex,won,2016-11-27,2017-03-26,538.0
8vkd2cch,rosie_papadopoulos,gtxpro,massive_dynamic,won,2016-11-27,2017-03-21,4829.0
2xqakbxh,zane_levy,gtx_plus_pro,doncon,won,2016-11-27,2017-03-11,5370.0
7g7ylgjo,zane_levy,gtx_plus_pro,hatfan,won,2016-11-27,2017-03-21,6499.0
gca97w27,darcel_schlecht,gtx_plus_basic,genco_pura_olive_oil_company,won,2016-11-28,2017-03-06,1161.0
k8fuzhog,kary_hendrixson,gtx_basic,scotfind,won,2016-11-28,2017-03-26,576.0
5wjzmulk,maureen_marcano,gtx_plus_basic,hatfan,won,2016-11-28,2017-03-19,979.0
zpyd4t9w,versie_hillebrand,mg_special,stanredtax,won,2016-11-28,2017-03-07,43.0
ke9zeds8,gladys_colclough,mg_special,scottech,won,2016-11-29,2017-03-07,57.0
7kk0hq4c,lajuana_vencill,mg_special,ron-tech,lost,2016-11-29,2017-03-28,0.0
fp7014z0,lajuana_vencill,gtx_plus_basic,funholding,won,2016-11-29,2017-03-12,948.0
n4hfhdmw,wilburn_farren,mg_advanced,plussunin,won,2016-11-29,2017-03-10,3012.0
2hflkrec,cassey_cress,mg_advanced,zotware,won,2016-11-30,2017-03-15,3665.0
7jvttvco,violet_mclelland,gtx_basic,gekko_&_co,won,2016-11-30,2017-03-24,564.0
3x13866u,anna_snelling,gtx_plus_basic,dambase,lost,2016-12-01,2017-03-06,0.0
7le19sye,cassey_cress,mg_advanced,initech,won,2016-12-01,2017-03-22,3463.0
j5v2m7y1,corliss_cosme,gtx_basic,gekko_&_co,won,2016-12-01,2017-03-26,513.0
41murai5,corliss_cosme,gtx_basic,konex,won,2016-12-01,2017-03-28,590.0
qhi8wria,darcel_schlecht,gtxpro,dontechi,won,2016-12-01,2017-03-30,4511.0
ajxaxv4w,lajuana_vencill,mg_advanced,finhigh,lost,2016-12-01,2017-03-02,0.0
vpdxx5pj,niesha_huffines,gtx_basic,cancity,won,2016-12-01,2017-03-26,546.0
pzb9nuk8,vicki_laflamme,mg_special,y-corporation,won,2016-12-01,2017-03-05,46.0
a0anoypf,darcel_schlecht,gtxpro,ron-tech,won,2016-12-02,2017-03-09,4891.0
0p4aapyx,hayden_neloms,gtx_plus_basic,golddex,won,2016-12-02,2017-03-03,1040.0
o6t5wc3w,hayden_neloms,gtx_plus_basic,sonron,won,2016-12-02,2017-03-04,1108.0
0no04p6c,hayden_neloms,mg_special,nam-zim,won,2016-12-02,2017-03-04,59.0
22ofsxbt,jonathan_berthelot,gtxpro,statholdings,won,2016-12-02,2017-03-30,5406.0
mrxztmm6,kary_hendrixson,gtx_basic,cheers,won,2016-12-02,2017-03-20,515.0
lgi8qec2,moses_frase,gtx_basic,treequote,won,2016-12-02,2017-03-06,583.0
6kz0ncfx,versie_hillebrand,mg_special,funholding,won,2016-12-02,2017-03-14,54.0
3sf8o9s6,vicki_laflamme,mg_special,plusstrip,won,2016-12-02,2017-03-27,60.0
cnm0h9fr,zane_levy,gtx_basic,hottechi,engaging,2016-12-02,2017-05-22,472.0
xk668r7c,darcel_schlecht,gtx_basic,dontechi,lost,2016-12-03,2017-03-12,0.0
tzcaqwl3,darcel_schlecht,gtxpro,funholding,lost,2016-12-03,2017-03-19,0.0
badc6a9h,darcel_schlecht,gtx_basic,globex_corporation,won,2016-12-03,2017-03-23,516.0
b8e0uuzr,darcel_schlecht,gtxpro,rangreen,won,2016-12-03,2017-03-22,4829.0
i043rxjv,moses_frase,gtx_plus_basic,dontechi,lost,2016-12-03,2017-03-17,0.0
mwwb44cc,reed_clapper,gtx_plus_basic,donquadtech,won,2016-12-03,2017-03-02,950.0
hbtinpdg,vicki_laflamme,gtx_plus_basic,xx-holding,lost,2016-12-03,2017-03-09,0.0
dz3khzsx,corliss_cosme,gtx_basic,initech,won,2016-12-04,2017-03-20,513.0
3w1k7x5f,darcel_schlecht,gtxpro,condax,lost,2016-12-04,2017-03-09,0.0
45a57x68,darcel_schlecht,gtx_plus_pro,ron-tech,won,2016-12-04,2017-03-12,5522.0
9slyc4tr,gladys_colclough,mg_special,cancity,won,2016-12-04,2017-03-09,56.0
jlwkwqyc,james_ascencio,gtxpro,doncon,won,2016-12-04,2017-03-08,5673.0
7qc6fokw,kami_bicknell,gtx_basic,xx-holding,won,2016-12-04,2017-03-10,598.0
xa184cmw,marty_freudenburg,gtx_plus_pro,rangreen,won,2016-12-04,2017-03-16,5787.0
s0n7byu3,maureen_marcano,gtx_plus_basic,singletechno,won,2016-12-04,2017-03-08,1070.0
6womhajm,boris_faz,mg_advanced,donquadtech,won,2016-12-05,2017-03-14,3677.0
g1qgatkv,cassey_cress,gtx_plus_pro,ontomedia,won,2016-12-05,2017-03-30,5425.0
uae5zc7o,daniell_hammack,gtx_plus_pro,hottechi,engaging,2016-12-05,2017-05-22,472.0
6xfvqi32,donn_cantrell,mg_advanced,yearin,won,2016-12-05,2017-03-23,3415.0
jucnig4h,james_ascencio,gtx_basic,hottechi,engaging,2016-12-05,2017-05-22,472.0
ogd4mdj9,maureen_marcano,gtx_plus_basic,lexiqvolax,won,2016-12-05,2017-03-21,891.0
4ngbuzwj,lajuana_vencill,gtx_basic,codehow,won,2016-12-06,2017-03-12,609.0
efg5dgv5,markita_hansen,mg_special,plusstrip,won,2016-12-06,2017-03-16,54.0
82mm4h33,zane_levy,gtx_plus_basic,labdrill,won,2016-12-06,2017-03-09,1049.0
14pm641k,cassey_cress,gtx_plus_basic,gekko_&_co,won,2016-12-07,2017-03-07,1152.0
dsbghopn,daniell_hammack,mg_special,plussunin,lost,2016-12-07,2017-03-20,0.0
1ysozlhf,daniell_hammack,gtxpro,umbrella_corporation,won,2016-12-07,2017-03-28,4799.0
e8rp9frw,gladys_colclough,mg_special,dambase,won,2016-12-07,2017-03-12,51.0
787irg9q,hayden_neloms,mg_advanced,j-texon,won,2016-12-07,2017-03-03,3426.0
0tus4nac,jonathan_berthelot,mg_special,rangreen,won,2016-12-07,2017-03-11,51.0
fajtqmum,kami_bicknell,gtx_basic,finjob,won,2016-12-07,2017-03-20,564.0
twf0j0df,cecily_lampkin,gtx_plus_pro,isdom,won,2016-12-08,2017-03-01,5882.0
icmxzovl,daniell_hammack,gtxpro,stanredtax,engaging,2016-12-08,2017-05-22,472.0
uq14o415,donn_cantrell,gtxpro,plussunin,won,2016-12-08,2017-03-20,5059.0
ibeutcsw,james_ascencio,mg_advanced,hottechi,engaging,2016-12-08,2017-05-22,472.0
o3kc8qi8,kami_bicknell,gtx_plus_basic,hottechi,engaging,2016-12-08,2017-05-22,472.0
bojslndg,kami_bicknell,mg_advanced,singletechno,won,2016-12-08,2017-03-11,3388.0
walnfj70,kary_hendrixson,gtx_plus_pro,hottechi,engaging,2016-12-08,2017-05-22,472.0
dasmr0ek,markita_hansen,gtx_plus_pro,zoomit,won,2016-12-08,2017-03-10,5410.0
a76m0ooh,reed_clapper,gtx_plus_basic,zathunicon,won,2016-12-08,2017-03-28,978.0
e1vke2ph,vicki_laflamme,mg_special,scotfind,won,2016-12-08,2017-03-26,54.0
sky95dvg,anna_snelling,mg_special,betatech,lost,2016-12-09,2017-03-22,0.0
v5ok4v5i,cassey_cress,gtx_basic,bubba_gump,won,2016-12-09,2017-03-14,549.0
gj4l5hhn,corliss_cosme,gtx_plus_basic,mathtouch,won,2016-12-09,2017-03-14,1034.0
9r8jwy3j,donn_cantrell,gtxpro,vehement_capital_partners,won,2016-12-09,2017-03-03,4998.0
0eofvu05,donn_cantrell,mg_advanced,ontomedia,won,2016-12-09,2017-03-28,3421.0
hnhopl7m,kary_hendrixson,gtx_plus_pro,doncon,won,2016-12-09,2017-03-04,5425.0
y0nyi17r,vicki_laflamme,mg_special,dalttechnology,won,2016-12-09,2017-03-15,55.0
r4f4rgal,violet_mclelland,mg_advanced,silis,won,2016-12-09,2017-03-14,3558.0
mnvmy83p,cassey_cress,gtxpro,plussunin,engaging,2016-12-10,2017-05-22,472.0
0zhlqfgu,kami_bicknell,gtxpro,blackzim,won,2016-12-10,2017-03-22,4839.0
40dpy158,markita_hansen,mg_special,hottechi,won,2016-12-10,2017-03-25,47.0
dp9e525r,maureen_marcano,gtx_plus_basic,fasehatice,won,2016-12-10,2017-03-24,1007.0
dbdumqqk,niesha_huffines,mg_special,inity,won,2016-12-10,2017-03-24,48.0
cnbn12rl,versie_hillebrand,mg_special,treequote,won,2016-12-10,2017-03-07,49.0
oxl0ywee,violet_mclelland,gtx_basic,mathtouch,won,2016-12-10,2017-03-18,504.0
zobjhmaf,cassey_cress,mg_advanced,hottechi,engaging,2016-12-11,2017-05-22,472.0
kd6mb4ap,elease_gluck,mg_special,hottechi,engaging,2016-12-11,2017-05-22,472.0
5csszjf4,jonathan_berthelot,gtx_basic,finhigh,won,2016-12-11,2017-03-21,543.0
0xg8tojf,kary_hendrixson,gtx_plus_pro,fasehatice,lost,2016-12-11,2017-03-18,0.0
iis0o91j,kary_hendrixson,gtxpro,fasehatice,won,2016-12-11,2017-03-28,5149.0
2lp5sur5,lajuana_vencill,gtx_basic,treequote,lost,2016-12-11,2017-03-09,0.0
pyzz3is6,markita_hansen,gtx_plus_basic,blackzim,won,2016-12-11,2017-03-11,1043.0
5i4k5tqe,cassey_cress,gtx_plus_pro,sumace,lost,2016-12-12,2017-03-09,0.0
rv3lpoyp,james_ascencio,gtx_basic,condax,won,2016-12-12,2017-03-29,437.0
a194rp0i,rosalina_dieter,mg_advanced,hottechi,engaging,2016-12-12,2017-05-22,472.0
1hvntepv,rosie_papadopoulos,gtxpro,kinnamplus,won,2016-12-12,2017-03-11,4465.0
lc85aq1i,vicki_laflamme,gtx_basic,konex,won,2016-12-12,2017-03-18,443.0
tbv972np,violet_mclelland,mg_special,sumace,lost,2016-12-12,2017-03-23,0.0
ejmx0eij,darcel_schlecht,gtx_plus_pro,betatech,won,2016-12-13,2017-03-20,4278.0
vr9nybov,garret_kinder,mg_special,kinnamplus,won,2016-12-13,2017-03-06,41.0
3u25fk08,jonathan_berthelot,gtx_basic,isdom,won,2016-12-13,2017-03-28,519.0
kv2ofrjt,kami_bicknell,gtxpro,hottechi,engaging,2016-12-13,2017-05-22,472.0
crlk4z1p,maureen_marcano,gtx_basic,kan-code,won,2016-12-13,2017-03-04,524.0
ogenat0l,zane_levy,gtx_basic,singletechno,won,2016-12-13,2017-03-27,552.0
f57jwidf,gladys_colclough,gtx_plus_basic,konmatfix,won,2016-12-14,2017-03-02,970.0
erfrhr3z,hayden_neloms,mg_advanced,hottechi,engaging,2016-12-14,2017-05-22,472.0
j53d8eol,kary_hendrixson,gtx_plus_basic,hottechi,engaging,2016-12-14,2017-05-22,472.0
lf8jz3q5,kary_hendrixson,gtx_plus_basic,hatfan,won,2016-12-14,2017-03-13,1046.0
mrgbsmq5,kary_hendrixson,gtx_plus_basic,sunnamplex,won,2016-12-14,2017-03-14,988.0
cbav8zjl,lajuana_vencill,gtx_basic,codehow,won,2016-12-14,2017-03-22,547.0
j32xddaw,markita_hansen,gtx_basic,hottechi,engaging,2016-12-14,2017-05-22,472.0
nn4dwbvn,maureen_marcano,gtxpro,singletechno,lost,2016-12-14,2017-03-04,0.0
6jxhezyk,versie_hillebrand,mg_special,isdom,won,2016-12-14,2017-03-31,54.0
wdhnr2ei,violet_mclelland,mg_special,silis,won,2016-12-14,2017-03-20,57.0
4k750d6f,violet_mclelland,mg_special,yearin,won,2016-12-14,2017-03-18,55.0
94gi0zj7,anna_snelling,gtx_plus_pro,stanredtax,won,2016-12-15,2017-03-15,5765.0
todg6dek,daniell_hammack,gtx_basic,bioplex,won,2016-12-15,2017-03-16,639.0
g0ecb8fs,kary_hendrixson,gtxpro,labdrill,won,2016-12-15,2017-03-15,5100.0
1zddzd8b,markita_hansen,mg_special,hottechi,engaging,2016-12-15,2017-05-22,472.0
96mzyuy0,vicki_laflamme,gtxpro,fasehatice,won,2016-12-15,2017-03-07,4906.0
ezvksq9c,boris_faz,gtx_plus_pro,genco_pura_olive_oil_company,engaging,2016-12-16,2017-05-22,472.0
rjyg004o,daniell_hammack,gtx_basic,domzoom,engaging,2016-12-16,2017-05-22,472.0
jzokhhwn,donn_cantrell,gtx_plus_basic,opentech,won,2016-12-16,2017-03-07,1037.0
eh6i67i0,james_ascencio,gtx_basic,plexzap,won,2016-12-16,2017-03-15,537.0
juuxf02z,kary_hendrixson,gtxpro,hatfan,won,2016-12-16,2017-03-09,4694.0
ot87jdwo,lajuana_vencill,gtx_basic,konmatfix,won,2016-12-16,2017-03-24,560.0
yhkt6yj7,moses_frase,gtx_basic,dambase,won,2016-12-16,2017-03-13,589.0
h78i3tay,reed_clapper,gtx_basic,mathtouch,won,2016-12-16,2017-03-14,493.0
1roc43jk,versie_hillebrand,mg_special,betatech,won,2016-12-16,2017-03-08,50.0
lpzlql48,vicki_laflamme,gtx_basic,y-corporation,won,2016-12-16,2017-03-28,492.0
pyofk7zd,cassey_cress,gtx_basic,hottechi,engaging,2016-12-17,2017-05-22,472.0
dwuxmagz,corliss_cosme,gtx_plus_pro,hottechi,engaging,2016-12-17,2017-05-22,472.0
3kr50x38,corliss_cosme,gtx_plus_basic,konex,won,2016-12-17,2017-03-13,1255.0
q3wlhre9,darcel_schlecht,gtx_basic,statholdings,won,2016-12-17,2017-03-04,463.0
ix7ueoap,donn_cantrell,gtx_plus_basic,initech,lost,2016-12-17,2017-03-27,0.0
nqu62k1h,donn_cantrell,gtx_basic,zencorporation,won,2016-12-17,2017-03-12,605.0
naqkou0t,hayden_neloms,gtx_plus_basic,fasehatice,won,2016-12-17,2017-03-20,1315.0
i3v3guai,lajuana_vencill,gtx_basic,zumgoity,won,2016-12-17,2017-03-02,559.0
pn4vjdxy,moses_frase,gtx_basic,rundofase,won,2016-12-17,2017-03-28,557.0
k9d4dq3r,rosie_papadopoulos,mg_special,vehement_capital_partners,won,2016-12-17,2017-03-02,48.0
9x6v79ke,versie_hillebrand,gtx_plus_pro,isdom,won,2016-12-17,2017-03-25,6282.0
6sn2rqjx,vicki_laflamme,mg_special,hottechi,engaging,2016-12-17,2017-05-22,472.0
w1klfne4,anna_snelling,mg_advanced,isdom,won,2016-12-18,2017-03-02,3246.0
nkph3efg,cassey_cress,mg_advanced,hottechi,engaging,2016-12-18,2017-05-22,472.0
gd2ocw12,darcel_schlecht,gtx_basic,finhigh,won,2016-12-18,2017-03-14,514.0
6xo4ryxk,donn_cantrell,gtx_plus_basic,silis,won,2016-12-18,2017-03-15,1132.0
18y7grpw,garret_kinder,gtx_plus_pro,silis,won,2016-12-18,2017-03-21,5918.0
127zplxq,kary_hendrixson,gtxpro,hottechi,lost,2016-12-18,2017-03-18,0.0
u07c2heg,maureen_marcano,mg_special,kan-code,lost,2016-12-18,2017-03-14,0.0
rntoj78l,rosalina_dieter,mg_special,hatfan,lost,2016-12-18,2017-03-13,0.0
n07k7dr7,rosie_papadopoulos,mg_special,plexzap,engaging,2016-12-18,2017-05-22,472.0
nlb4d5bq,versie_hillebrand,mg_advanced,gogozoom,won,2016-12-18,2017-03-24,2955.0
fcfdjiez,vicki_laflamme,gtxpro,fasehatice,won,2016-12-18,2017-03-21,3742.0
yzgdw4g1,violet_mclelland,mg_special,initech,won,2016-12-18,2017-03-14,64.0
g8ao5fa2,wilburn_farren,mg_advanced,initech,lost,2016-12-18,2017-03-27,0.0
125virmx,elease_gluck,gtk_500,warephase,engaging,2016-12-19,2017-05-22,472.0
lxxw3trw,elease_gluck,gtx_plus_basic,scotfind,won,2016-12-19,2017-03-18,1164.0
8kj3h262,elease_gluck,mg_special,singletechno,won,2016-12-19,2017-03-07,65.0
88pognel,gladys_colclough,gtx_plus_basic,cancity,lost,2016-12-19,2017-03-07,0.0
uyp3nnu6,kami_bicknell,gtx_basic,groovestreet,won,2016-12-19,2017-03-16,441.0
s1v8684y,marty_freudenburg,gtx_plus_basic,finhigh,lost,2016-12-19,2017-03-12,0.0
mopwemb5,vicki_laflamme,gtxpro,hatfan,won,2016-12-19,2017-03-16,4907.0
l62mdi48,anna_snelling,mg_advanced,isdom,lost,2016-12-20,2017-03-01,0.0
3echupqy,daniell_hammack,gtx_plus_basic,hottechi,engaging,2016-12-20,2017-05-22,472.0
3el8d4wo,darcel_schlecht,mg_advanced,codehow,won,2016-12-20,2017-03-25,3269.0
voan1nxg,donn_cantrell,gtx_basic,kinnamplus,won,2016-12-20,2017-03-12,579.0
alw92xql,gladys_colclough,gtx_basic,isdom,lost,2016-12-20,2017-03-25,0.0
tj6za1m3,kary_hendrixson,gtx_basic,dalttechnology,lost,2016-12-20,2017-03-07,0.0
fkafo8o9,kary_hendrixson,mg_special,xx-holding,won,2016-12-20,2017-03-31,51.0
1xbc7m9f,markita_hansen,mg_special,faxquote,won,2016-12-20,2017-03-08,64.0
8ixbs90g,rosie_papadopoulos,mg_special,donware,won,2016-12-20,2017-03-08,60.0
2x45beos,cassey_cress,gtx_plus_basic,ganjaflex,won,2016-12-21,2017-03-27,1186.0
