sales_agent,product,account,deal_stage,engage_date,close_date,close_value
Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0
Kami Bicknell,GTX Basic,unknown,Engaging,2016-11-14,,472.0
Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0
Cassey Cress,GTXPro,unknown,Engaging,2016-11-16,,472.0
Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0
Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0
Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0
Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0
James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0
Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0
Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0
Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0
Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0
Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0
Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0
Kami Bicknell,GTX Plus Basic,unknown,Engaging,2016-11-19,,472.0
Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0
Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0
Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0
Hayden Neloms,MG Advanced,unknown,Engaging,2016-11-20,,472.0
Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0
Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0
Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0
Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,,472.0
Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0
Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0
Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0
Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0
Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0
Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0
Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0
Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0
Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0
Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0
Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0
Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0
Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0
Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0
Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,,472.0
Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0
Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0
Elease Gluck,MG Advanced,unknown,Engaging,2016-11-23,,472.0
Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0
Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0
Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,,472.0
Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0
Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0
Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0
Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,,472.0
Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,,472.0
Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0
Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0
Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0
Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0
Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0
Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0
Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0
Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0
Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0
Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0
Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0
Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0
Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0
Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0
Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0
Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0
Markita Hansen,MG Advanced,Opentech,Engaging,2016-11-27,,472.0
Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0
Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0
Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0
Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0
Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0
Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0
Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0
Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0
Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0
Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0.0
Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0
Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0
Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0
Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0
Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0.0
Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0
Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0
Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0
Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511.0
Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0
Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0
Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0
Darcel Schlecht,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891.0
Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0
Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0
Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0
Jonathan Berthelot,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406.0
Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0
Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0
Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,54.0
Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0
Zane Levy,GTX Basic,unknown,Engaging,2016-12-02,,472.0
Darcel Schlecht,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,0.0
Darcel Schlecht,GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0.0
Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0
Darcel Schlecht,GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829.0
Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0
Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0
Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0.0
Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513.0
Darcel Schlecht,GTXPro,Condax,Lost,2016-12-04,2017-03-09,0.0
Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522.0
Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,56.0
James Ascencio,GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673.0
Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598.0
Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0
Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0
Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0
Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0
Daniell Hammack,GTX Plus Pro,unknown,Engaging,2016-12-05,,472.0
Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0
James Ascencio,GTX Basic,unknown,Engaging,2016-12-05,,472.0
Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0
Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609.0
Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0
Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0
Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0
Daniell Hammack,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,0.0
Daniell Hammack,GTXPro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0
Gladys Colclough,MG Special,dambase,Won,2016-12-07,2017-03-12,51.0
Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0
Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51.0
Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564.0
Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0
Daniell Hammack,GTXPro,Stanredtax,Engaging,2016-12-08,,472.0
Donn Cantrell,GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059.0
James Ascencio,MG Advanced,unknown,Engaging,2016-12-08,,472.0
Kami Bicknell,GTX Plus Basic,unknown,Engaging,2016-12-08,,472.0
Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0
Kary Hendrixson,GTX Plus Pro,unknown,Engaging,2016-12-08,,472.0
Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0
Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0
Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54.0
Anna Snelling,MG Special,Betatech,Lost,2016-12-09,2017-03-22,0.0
Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0
Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0
Donn Cantrell,GTXPro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0
Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0
Kary Hendrixson,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425.0
Vicki Laflamme,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,55.0
Violet Mclelland,MG Advanced,Silis,Won,2016-12-09,2017-03-14,3558.0
Cassey Cress,GTXPro,Plussunin,Engaging,2016-12-10,,472.0
Kami Bicknell,GTXPro,Blackzim,Won,2016-12-10,2017-03-22,4839.0
Markita Hansen,MG Special,Hottechi,Won,2016-12-10,2017-03-25,47.0
Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007.0
Niesha Huffines,MG Special,Inity,Won,2016-12-10,2017-03-24,48.0
Versie Hillebrand,MG Special,Treequote,Won,2016-12-10,2017-03-07,49.0
Violet Mclelland,GTX Basic,Mathtouch,Won,2016-12-10,2017-03-18,504.0
Cassey Cress,MG Advanced,unknown,Engaging,2016-12-11,,472.0
Elease Gluck,MG Special,unknown,Engaging,2016-12-11,,472.0
Jonathan Berthelot,GTX Basic,Finhigh,Won,2016-12-11,2017-03-21,543.0
Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,2016-12-11,2017-03-18,0.0
Kary Hendrixson,GTXPro,Fasehatice,Won,2016-12-11,2017-03-28,5149.0
Lajuana Vencill,GTX Basic,Treequote,Lost,2016-12-11,2017-03-09,0.0
Markita Hansen,GTX Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,1043.0
Cassey Cress,GTX Plus Pro,Sumace,Lost,2016-12-12,2017-03-09,0.0
James Ascencio,GTX Basic,Condax,Won,2016-12-12,2017-03-29,437.0
Rosalina Dieter,MG Advanced,unknown,Engaging,2016-12-12,,472.0
Rosie Papadopoulos,GTXPro,Kinnamplus,Won,2016-12-12,2017-03-11,4465.0
Vicki Laflamme,GTX Basic,Konex,Won,2016-12-12,2017-03-18,443.0
Violet Mclelland,MG Special,Sumace,Lost,2016-12-12,2017-03-23,0.0
Darcel Schlecht,GTX Plus Pro,Betatech,Won,2016-12-13,2017-03-20,4278.0
Garret Kinder,MG Special,Kinnamplus,Won,2016-12-13,2017-03-06,41.0
Jonathan Berthelot,GTX Basic,Isdom,Won,2016-12-13,2017-03-28,519.0
Kami Bicknell,GTXPro,unknown,Engaging,2016-12-13,,472.0
Maureen Marcano,GTX Basic,Kan-code,Won,2016-12-13,2017-03-04,524.0
Zane Levy,GTX Basic,Singletechno,Won,2016-12-13,2017-03-27,552.0
Gladys Colclough,GTX Plus Basic,Konmatfix,Won,2016-12-14,2017-03-02,970.0
Hayden Neloms,MG Advanced,unknown,Engaging,2016-12-14,,472.0
Kary Hendrixson,GTX Plus Basic,Hottechi,Engaging,2016-12-14,,472.0
Kary Hendrixson,GTX Plus Basic,Hatfan,Won,2016-12-14,2017-03-13,1046.0
Kary Hendrixson,GTX Plus Basic,Sunnamplex,Won,2016-12-14,2017-03-14,988.0
Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-14,2017-03-22,547.0
Markita Hansen,GTX Basic,unknown,Engaging,2016-12-14,,472.0
Maureen Marcano,GTXPro,Singletechno,Lost,2016-12-14,2017-03-04,0.0
Versie Hillebrand,MG Special,Isdom,Won,2016-12-14,2017-03-31,54.0
Violet Mclelland,MG Special,Silis,Won,2016-12-14,2017-03-20,57.0
Violet Mclelland,MG Special,Yearin,Won,2016-12-14,2017-03-18,55.0
Anna Snelling,GTX Plus Pro,Stanredtax,Won,2016-12-15,2017-03-15,5765.0
Daniell Hammack,GTX Basic,Bioplex,Won,2016-12-15,2017-03-16,639.0
Kary Hendrixson,GTXPro,Labdrill,Won,2016-12-15,2017-03-15,5100.0
Markita Hansen,MG Special,unknown,Engaging,2016-12-15,,472.0
Vicki Laflamme,GTXPro,Fasehatice,Won,2016-12-15,2017-03-07,4906.0
Boris Faz,GTX Plus Pro,Genco Pura Olive Oil Company,Engaging,2016-12-16,,472.0
Daniell Hammack,GTX Basic,Domzoom,Engaging,2016-12-16,,472.0
Donn Cantrell,GTX Plus Basic,Opentech,Won,2016-12-16,2017-03-07,1037.0
James Ascencio,GTX Basic,Plexzap,Won,2016-12-16,2017-03-15,537.0
Kary Hendrixson,GTXPro,Hatfan,Won,2016-12-16,2017-03-09,4694.0
Lajuana Vencill,GTX Basic,Konmatfix,Won,2016-12-16,2017-03-24,560.0
Moses Frase,GTX Basic,dambase,Won,2016-12-16,2017-03-13,589.0
Reed Clapper,GTX Basic,Mathtouch,Won,2016-12-16,2017-03-14,493.0
Versie Hillebrand,MG Special,Betatech,Won,2016-12-16,2017-03-08,50.0
Vicki Laflamme,GTX Basic,Y-corporation,Won,2016-12-16,2017-03-28,492.0
Cassey Cress,GTX Basic,unknown,Engaging,2016-12-17,,472.0
Corliss Cosme,GTX Plus Pro,unknown,Engaging,2016-12-17,,472.0
Corliss Cosme,GTX Plus Basic,Konex,Won,2016-12-17,2017-03-13,1255.0
Darcel Schlecht,GTX Basic,Statholdings,Won,2016-12-17,2017-03-04,463.0
Donn Cantrell,GTX Plus Basic,Initech,Lost,2016-12-17,2017-03-27,0.0
Donn Cantrell,GTX Basic,Zencorporation,Won,2016-12-17,2017-03-12,605.0
Hayden Neloms,GTX Plus Basic,Fasehatice,Won,2016-12-17,2017-03-20,1315.0
Lajuana Vencill,GTX Basic,Zumgoity,Won,2016-12-17,2017-03-02,559.0
Moses Frase,GTX Basic,Rundofase,Won,2016-12-17,2017-03-28,557.0
Rosie Papadopoulos,MG Special,Vehement Capital Partners,Won,2016-12-17,2017-03-02,48.0
Versie Hillebrand,GTX Plus Pro,Isdom,Won,2016-12-17,2017-03-25,6282.0
Vicki Laflamme,MG Special,unknown,Engaging,2016-12-17,,472.0
Anna Snelling,MG Advanced,Isdom,Won,2016-12-18,2017-03-02,3246.0
Cassey Cress,MG Advanced,unknown,Engaging,2016-12-18,,472.0
Darcel Schlecht,GTX Basic,Finhigh,Won,2016-12-18,2017-03-14,514.0
Donn Cantrell,GTX Plus Basic,Silis,Won,2016-12-18,2017-03-15,1132.0
Garret Kinder,GTX Plus Pro,Silis,Won,2016-12-18,2017-03-21,5918.0
Kary Hendrixson,GTXPro,Hottechi,Lost,2016-12-18,2017-03-18,0.0
Maureen Marcano,MG Special,Kan-code,Lost,2016-12-18,2017-03-14,0.0
Rosalina Dieter,MG Special,Hatfan,Lost,2016-12-18,2017-03-13,0.0
Rosie Papadopoulos,MG Special,Plexzap,Engaging,2016-12-18,,472.0
Versie Hillebrand,MG Advanced,Gogozoom,Won,2016-12-18,2017-03-24,2955.0
Vicki Laflamme,GTXPro,Fasehatice,Won,2016-12-18,2017-03-21,3742.0
Violet Mclelland,MG Special,Initech,Won,2016-12-18,2017-03-14,64.0
Wilburn Farren,MG Advanced,Initech,Lost,2016-12-18,2017-03-27,0.0
Elease Gluck,GTK 500,Warephase,Engaging,2016-12-19,,472.0
Elease Gluck,GTX Plus Basic,Scotfind,Won,2016-12-19,2017-03-18,1164.0
Elease Gluck,MG Special,Singletechno,Won,2016-12-19,2017-03-07,65.0
Gladys Colclough,GTX Plus Basic,Cancity,Lost,2016-12-19,2017-03-07,0.0
Kami Bicknell,GTX Basic,Groovestreet,Won,2016-12-19,2017-03-16,441.0
Marty Freudenburg,GTX Plus Basic,Finhigh,Lost,2016-12-19,2017-03-12,0.0
Vicki Laflamme,GTXPro,Hatfan,Won,2016-12-19,2017-03-16,4907.0
Anna Snelling,MG Advanced,Isdom,Lost,2016-12-20,2017-03-01,0.0
Daniell Hammack,GTX Plus Basic,unknown,Engaging,2016-12-20,,472.0
Darcel Schlecht,MG Advanced,Codehow,Won,2016-12-20,2017-03-25,3269.0
Donn Cantrell,GTX Basic,Kinnamplus,Won,2016-12-20,2017-03-12,579.0
Gladys Colclough,GTX Basic,Isdom,Lost,2016-12-20,2017-03-25,0.0
Kary Hendrixson,GTX Basic,Dalttechnology,Lost,2016-12-20,2017-03-07,0.0
Kary Hendrixson,MG Special,Xx-holding,Won,2016-12-20,2017-03-31,51.0
Markita Hansen,MG Special,Faxquote,Won,2016-12-20,2017-03-08,64.0
Rosie Papadopoulos,MG Special,Donware,Won,2016-12-20,2017-03-08,60.0
Cassey Cress,GTX Plus Basic,Ganjaflex,Won,2016-12-21,2017-03-27,1186.0
Corliss Cosme,MG Advanced,Yearin,Won,2016-12-21,2017-03-09,3577.0
Daniell Hammack,GTX Plus Basic,Donquadtech,Won,2016-12-21,2017-03-07,1020.0
Elease Gluck,GTXPro,Blackzim,Engaging,2016-12-21,,472.0
Hayden Neloms,MG Special,Zoomit,Won,2016-12-21,2017-03-23,53.0
Jonathan Berthelot,GTX Basic,Rundofase,Lost,2016-12-21,2017-03-10,0.0
Kary Hendrixson,GTX Basic,Faxquote,Lost,2016-12-21,2017-03-28,0.0
Kary Hendrixson,GTXPro,Sunnamplex,Won,2016-12-21,2017-03-08,4719.0
Moses Frase,GTX Basic,Codehow,Won,2016-12-21,2017-03-22,546.0
Niesha Huffines,GTX Plus Basic,Domzoom,Won,2016-12-21,2017-03-21,1212.0
Vicki Laflamme,GTX Basic,unknown,Engaging,2016-12-21,,472.0
Vicki Laflamme,GTX Basic,Sunnamplex,Lost,2016-12-21,2017-03-08,0.0
Anna Snelling,GTX Plus Pro,Bioholding,Lost,2016-12-22,2017-03-27,0.0
Gladys Colclough,GTX Plus Pro,Dontechi,Won,2016-12-22,2017-03-14,5533.0
Kami Bicknell,MG Advanced,Finjob,Won,2016-12-22,2017-03-01,3295.0
Rosalina Dieter,MG Special,Finjob,Won,2016-12-22,2017-03-31,45.0
Violet Mclelland,MG Special,Bioplex,Won,2016-12-22,2017-03-04,56.0
Zane Levy,GTXPro,Opentech,Engaging,2016-12-22,,472.0
Corliss Cosme,GTX Basic,unknown,Engaging,2016-12-23,,472.0
Daniell Hammack,GTX Plus Basic,Finhigh,Engaging,2016-12-23,,472.0
Darcel Schlecht,GTXPro,Funholding,Won,2016-12-23,2017-03-20,4247.0
Gladys Colclough,MG Advanced,Isdom,Won,2016-12-23,2017-03-13,3440.0
James Ascencio,GTXPro,Plexzap,Won,2016-12-23,2017-03-02,5040.0
Jonathan Berthelot,GTX Basic,Cancity,Won,2016-12-23,2017-03-12,469.0
Moses Frase,MG Special,Isdom,Won,2016-12-23,2017-03-07,58.0
Cecily Lampkin,MG Advanced,Isdom,Won,2016-12-24,2017-03-16,2955.0
Corliss Cosme,GTX Plus Pro,Condax,Won,2016-12-24,2017-03-26,5228.0
Darcel Schlecht,MG Advanced,Toughzap,Won,2016-12-24,2017-03-14,3358.0
Elease Gluck,GTX Plus Pro,Green-Plus,Lost,2016-12-24,2017-03-29,0.0
Jonathan Berthelot,GTX Basic,Codehow,Won,2016-12-24,2017-03-31,517.0
Moses Frase,GTX Basic,Dontechi,Won,2016-12-24,2017-03-03,615.0
Niesha Huffines,GTX Basic,Domzoom,Lost,2016-12-24,2017-03-10,0.0
Versie Hillebrand,MG Special,Condax,Won,2016-12-24,2017-03-08,62.0
Darcel Schlecht,GTX Plus Pro,Isdom,Won,2016-12-25,2017-03-13,4711.0
Donn Cantrell,GTXPro,Kinnamplus,Lost,2016-12-25,2017-03-23,0.0
Garret Kinder,GTX Basic,Yearin,Won,2016-12-25,2017-03-30,510.0
Gladys Colclough,GTXPro,Warephase,Won,2016-12-25,2017-03-25,4891.0
Hayden Neloms,GTX Plus Basic,Green-Plus,Won,2016-12-25,2017-03-17,926.0
Lajuana Vencill,MG Special,Betatech,Won,2016-12-25,2017-03-10,56.0
Maureen Marcano,GTX Basic,Treequote,Engaging,2016-12-25,,472.0
